field_name,field_type
codlegislatura,integer
datemissao,datetime
idedocumento,integer
idecadastro,integer
indtipodocumento,integer
nucarteiraparlamentar,integer
nudeputadoid,integer
nulegislatura,integer
numano,integer
numespecificacaosubcota,integer
numlote,integer
nummes,integer
numparcela,integer
numressarcimento,integer
numsubcota,integer
sgpartido,text
sguf,text
txnomeparlamentar,text
txtcnpjcpf,text
txtdescricao,text
txtdescricaoespecificacao,text
txtfornecedor,text
txtnumero,text
txtpassageiro,text
txttrecho,text
vlrdocumento,decimal
vlrglosa,decimal
vlrliquido,decimal
vlrrestituicao,decimal
